Intern UUID;Naam;Productcode;Actief;Type;Attributen;Barcode;EAN;ASIN;Tags;Lengte;Breedte;Hoogte;Gewicht;Leverancier;Leverancier productcode;Afbeelding;Extern product;Inkoopbaar;Ongelimiteerde voorraad;Vrije voorraad;Totale voorraad;Gebruik fictieve voorraad;Fictieve voorraad;Gebruik daadwerkelijke voorraad als voorraad onder de volgende drempel komt;Minimale voorraad;Voorraad aanvullen tot;Inkoop veelvoud;Inkoopprijs;Verkoopprijs;Belastingspercentage;Voorraadwaarde;Backorders toestaan;Voorraad bijwerken in verkoopplatformen;Levertijd indien op voorraad;Levertijd indien niet op voorraad;Voorraadlocatie (hoogste prioriteit);HS-code;Land van oorsprong;Douane - Productbeschrijving (Engels);Cantastic;Cantastic TEST
;Kobra paint 400ml;8051277870010;1;Normaal;color: HP 001 WHITE;8051277870010;8051277870010;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 001;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277872434;1;Normaal;color: HP 002 BONE WHITE;8051277872434;8051277872434;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 002;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277870447;1;Normaal;color: HP 044 MATT BLACK;8051277870447;8051277870447;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 044;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277870546;1;Normaal;color: HP 054 SATIN BLACK;8051277870546;8051277870546;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 054;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277870539;1;Normaal;color: HP 053 SUPERGLOSS BLACK;8051277870539;8051277870539;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 053;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277870072;1;Normaal;color: HP 100 YELLOW;8051277870072;8051277870072;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 100;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277871109;1;Normaal;color: HP 110 LUCE;8051277871109;8051277871109;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 110;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277871208;1;Normaal;color: HP 120 RAY;8051277871208;8051277871208;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 120;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277870089;1;Normaal;color: HP 130 MIELE;8051277870089;8051277870089;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 130;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
;Kobra paint 400ml;8051277871406;1;Normaal;color: HP 140 OCRA;8051277871406;8051277871406;;;6.00;6.00;18.00;385;ITAL G.E.T.E;HP 140;;0;1;0;6;6;0;;;;;;1.85;3.85;21;;;;;;;;IT;;1;
