Intern UUID,Naam,Productcode,Actief,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Gebruik fictieve voorraad,Fictieve voorraad,Gebruik daadwerkelijke voorraad als voorraad onder de volgende drempel komt,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Levertijd indien op voorraad,Levertijd indien niet op voorraad,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
de38976d-8402-45e6-a209-6ca07a073f54,Loop Colors 600ml Box Deal,lp-deals-600ml-436box,1,Samengesteld,Color: LP-436 CHROME,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/e76c044adb267085a4def11b0997f7/original.jpg,0,1,0,47,47,0,,,0,10,1,0,17.99,,0,0,1,,,,,NL,,1,0
99f1d236-1cc1-4a1c-8277-3f91fcb7dddb,Loop Colors 600ml Box Deal,lp-deals-600ml-435box,1,Samengesteld,Color: LP-435 ASPHALT,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/399b4e56c6a2ed06e2f301b27fdf5b/original.jpg,0,1,0,6,6,0,,,0,10,1,0,18.25,,0,0,1,,,,,NL,,1,0
4040b52f-7895-49c1-8a5e-c0e64e84069a,Loop Colors 600ml Box Deal,lp-deals-600ml-416box,1,Samengesteld,Color: LP-416 MAXI BLACK,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3d9641187904785b03affadc426225/original.jpg,0,1,0,0,0,0,,,0,10,1,0,17.99,,0,0,1,,,,,NL,,1,0
effda475-46c9-4b51-9436-be6faf7d315b,Loop Colors 600ml Box Deal,lp-deals-600ml-415box,1,Samengesteld,Color: LP-415 MAXI WHITE,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/fa831137e0243843ca9c7f2ac23592/original.jpg,0,1,0,9,9,0,,,0,10,1,0,17.99,,0,0,1,,,,,NL,,1,0
eb14c0b6-7b30-4863-9dbb-59dce0e39187,Grog Buff Proof Ink 200,8052440551675,1,Normaal,Color: GROG DEATH BLACK,,,,6.00,1.50,15.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/59c538a30bf9ebf47c4f6e22607b67/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,7.5,,0,0,1,,,,,,,1,0
0401b029-9b12-4bbd-a636-cc81cd3175f1,Grog Buff Proof Ink 200,8052440551712,1,Normaal,Color: GROG SPLATTER RED,,,,6.00,1.50,15.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/44ecfa3aff56600ff4d4007c6d9e2d/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,7.5,,0,0,1,,,,,,,1,0
724bc96f-b6cb-4713-8692-c6b47709ea60,Grog Buff Proof Ink 200,8052440551705,1,Normaal,Color: GROG JELLYFISH FUCHSIA,,,,6.00,1.50,15.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3918263b587ca9c8c9f6338a260f56/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,7.5,,0,0,1,,,,,,,1,0
62427ca2-5209-4152-bd73-1daabdd94c60,Grog Buff Proof Ink 200,8052440551699,1,Normaal,Color: GROG DIVING BLUE,,,,6.00,1.50,15.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/11ebadc054d9d9f9e774df05c59386/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,7.5,,0,0,1,,,,,,,1,0
a0ea68c5-c5a5-4426-9b95-85c1b321e464,Grog Full Metal Paint 200,8052440551613,1,Normaal,Color: GROG BURNING CHROME,,,,6.00,1.50,15.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/26df8b8ba75117dd9fc714cf9d2c2a/original.jpg,0,1,0,0,0,0,,,0,10,1,0.00,7.5,,0,0,1,,,,,,,1,0
3a82f32c-a5ce-426e-a7e4-4a6969eb74f4,Grog Full Metal Paint 200,8052440551514,1,Normaal,Color: GROG DEATH BLACK,,,,6.00,1.50,15.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3469c2448c889b12f453c4f467751b/original.jpg,0,1,0,0,0,0,,,0,10,1,0.00,7.5,,0,0,1,,,,,,,1,0
