name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
GOOSES,gooses,"<p>Gooses flying above the Wadden Sea.<br><em>53.311823, 5.624347<br><br></em><strong>4 COLOR A3 RISOPRINT</strong><br>(black, blue, yellow &amp; fluo. pink.<br>200gr. Bio-Top paper</p><p><strong>Edition of 30</strong></p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:risoprint,,,gooses,25,Reduced tax,50,true,,
WATER,water,"<p>Sunset at Heeg.<br><em>52.968228, 5.593566<br><br></em><strong>4 COLOR A3 RISOPRINT</strong><br>(black, blue, yellow &amp; fluo. pink.<br>200gr. Bio-Top paper</p><p><strong>Edition of 15</strong></p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:risoprint,,,water,25,Reduced tax,50,true,,
BLOODMOON,bloodmoon,"<p>Bloodmoon seen in 2018.<br><em>53.124843, 5.966209<br><br></em><strong>4 COLOR A3 RISOPRINT</strong><br>(black, blue, yellow &amp; fluo. pink.<br>200gr. Bio-Top paper</p><p><strong>Edition of 15</strong></p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:risoprint,,,bloodmoon,25,Reduced tax,0,true,,
PIGEON,pigeon,"<p>A pigeon at the Westerkerk.<br><em>53.201929, 5.794110<br><br></em><strong>4 COLOR A3 RISOPRINT</strong><br>(black, blue, yellow &amp; fluo. pink.)<br>200gr. Bio-Top paper</p><p><strong>Edition of 30</strong></p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:risoprint,,,pigeon,25,Reduced tax,50,true,,
CLOUDS,clouds,"<p>Clouds &lt;3<em><br><br></em><strong>4 COLOR A3 RISOPRINT</strong><br>(black, blue, yellow &amp; fluo. pink.<br>200gr. Bio-Top paper</p><p><strong>Edition of 30</strong></p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:risoprint,,,clouds,25,Reduced tax,50,true,,
KALE DUINEN,kale-duinen,"<p>Een boom bij de kale duinen gefotografeerd met een infrarood filter.<br><em>52.933496, 6.295492<br><br></em><strong>FULL COLOUR | 80 X 120 CM</strong><br>Hahnemühle photo rag baryta print 315gr op dibond 4mm<br>Afgewerkt met een waxlaag.</p><p><strong>Edition of 1</strong></p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:dibond,,,kale-duinen,600,Reduced tax,50,true,,
MOON II,moon,"<p>4 COLOR A3 RISOPRINT<br>(black, blue, yellow &amp; fluo. pink.<br>200gr. Bio-Top paper</p><p>Edition of 30</p><p>Signed and numbered&nbsp;<br>by the artist.</p>",,category:risoprint,,,moon,25,Reduced tax,50,true,,
HOKJESDENKER,hokjesdenker,<p>50x70cm<br>dibond 3mm</p>,,category:dibond,,,hokjesdenker,250,Reduced tax,50,true,,
MYSTERY BOX,mystery-box,<p><strong>DE MYSTERY BOX! <br></strong>Dertien random postcards in een dozijn! Voor iedereen een verrassing dus! :’)</p><p>Daarbij maak je kans op een GRATIS RISO print naar keuze!</p>,,category:postcard,,,mystery-box,19.86,Standard tax,50,true,,
SUPPORT YOUR LOCALS <3,support-your-locals,<p><strong>ENOUGH SAID. </strong></p>,,,,,support-your-locals,1,Standard tax,50,true,,
